  0,      0.000,    231.525
  1,      0.021,    258.003
  2,      0.041,    278.305
  3,      0.062,    297.942
  4,      0.082,    314.916
  5,      0.103,    323.903
  6,      0.123,    329.894
  7,      0.144,    333.888
  8,      0.165,    331.891
  9,      0.185,    327.897
 10,      0.206,    318.839
 11,      0.226,    305.930
  0,      0.000,    231.525
  1,      0.021,    258.003
  2,      0.041,    278.305
  3,      0.062,    297.942
  4,      0.082,    314.916
  5,      0.103,    323.903
  6,      0.123,    329.894
  7,      0.144,    333.888
  8,      0.165,    331.891
  9,      0.185,    327.897
 10,      0.206,    318.839
 11,      0.226,    305.930
 12,      0.247,    285.497
  0,      0.000,    231.525
  1,      0.021,    258.003
  2,      0.041,    278.305
  3,      0.062,    297.942
  4,      0.082,    314.916
  5,      0.103,    323.903
  6,      0.123,    329.894
  7,      0.144,    333.888
  8,      0.165,    331.891
  9,      0.185,    327.897
 10,      0.206,    318.839
 11,      0.226,    305.930
 12,      0.247,    285.497
 13,      0.267,    267.988
  0,      0.000,    231.525
  1,      0.021,    258.003
  2,      0.041,    278.305
  3,      0.062,    297.942
  4,      0.082,    314.916
  5,      0.103,    323.903
  6,      0.123,    329.894
  7,      0.144,    333.888
  8,      0.165,    331.891
  9,      0.185,    327.897
 10,      0.206,    318.839
 11,      0.226,    305.930
 12,      0.247,    285.497
 13,      0.267,    267.988
 14,      0.288,    240.030
  0,      0.000,    231.525
  1,      0.021,    258.003
  2,      0.041,    278.305
  3,      0.062,    297.942
  4,      0.082,    314.916
  5,      0.103,    323.903
  6,      0.123,    329.894
  7,      0.144,    333.888
  8,      0.165,    331.891
  9,      0.185,    327.897
 10,      0.206,    318.839
 11,      0.226,    305.930
 12,      0.247,    285.497
 13,      0.267,    267.988
 14,      0.288,    240.030
 15,      0.308,    209.006
  0,      0.000,    231.525
  1,      0.021,    258.003
  2,      0.041,    278.305
  3,      0.062,    297.942
  4,      0.082,    314.916
  5,      0.103,    323.903
  6,      0.123,    329.894
  7,      0.144,    333.888
  8,      0.165,    331.891
  9,      0.185,    327.897
 10,      0.206,    318.839
 11,      0.226,    305.930
 12,      0.247,    285.497
 13,      0.267,    267.988
 14,      0.288,    240.030
 15,      0.308,    209.006
 16,      0.329,    179.071
  0,      0.000,    231.525
  1,      0.021,    258.003
  2,      0.041,    278.305
  3,      0.062,    297.942
  4,      0.082,    314.916
  5,      0.103,    323.903
  6,      0.123,    329.894
  7,      0.144,    333.888
  8,      0.165,    331.891
  9,      0.185,    327.897
 10,      0.206,    318.839
 11,      0.226,    305.930
 12,      0.247,    285.497
 13,      0.267,    267.988
 14,      0.288,    240.030
 15,      0.308,    209.006
 16,      0.329,    179.071
 17,      0.349,    138.606
  0,      0.000,    231.525
  1,      0.021,    258.003
  2,      0.041,    278.305
  3,      0.062,    297.942
  4,      0.082,    314.916
  5,      0.103,    323.903
  6,      0.123,    329.894
  7,      0.144,    333.888
  8,      0.165,    331.891
  9,      0.185,    327.897
 10,      0.206,    318.839
 11,      0.226,    305.930
 12,      0.247,    285.497
 13,      0.267,    267.988
 14,      0.288,    240.030
 15,      0.308,    209.006
 16,      0.329,    179.071
 17,      0.349,    138.606
 18,      0.370,     97.212
  0,      0.000,    231.525
  1,      0.021,    258.003
  2,      0.041,    278.305
  3,      0.062,    297.942
  4,      0.082,    314.916
  5,      0.103,    323.903
  6,      0.123,    329.894
  7,      0.144,    333.888
  8,      0.165,    331.891
  9,      0.185,    327.897
 10,      0.206,    318.839
 11,      0.226,    305.930
 12,      0.247,    285.497
 13,      0.267,    267.988
 14,      0.288,    240.030
 15,      0.308,    209.006
 16,      0.329,    179.071
 17,      0.349,    138.606
 18,      0.370,     97.212
 19,      0.391,     53.823
  0,      0.000,    231.525
  1,      0.021,    258.003
  2,      0.041,    278.305
  3,      0.062,    297.942
  4,      0.082,    314.916
  5,      0.103,    323.903
  6,      0.123,    329.894
  7,      0.144,    333.888
  8,      0.165,    331.891
  9,      0.185,    327.897
 10,      0.206,    318.839
 11,      0.226,    305.930
 12,      0.247,    285.497
 13,      0.267,    267.988
 14,      0.288,    240.030
 15,      0.308,    209.006
 16,      0.329,    179.071
 17,      0.349,    138.606
 18,      0.370,     97.212
 19,      0.391,     53.823
 20,      0.411,      8.383,      0.394,     27.943
  0,      0.000,    231.525
  1,      0.021,    258.003
  2,      0.041,    278.305
  3,      0.062,    297.942
  4,      0.082,    314.916
  5,      0.103,    323.903
  6,      0.123,    329.894
  7,      0.144,    333.888
  8,      0.165,    331.891
  9,      0.185,    327.897
 10,      0.206,    318.839
 11,      0.226,    305.930
 12,      0.247,    285.497
 13,      0.267,    267.988
 14,      0.288,    240.030
 15,      0.308,    209.006
 16,      0.329,    179.071
 17,      0.349,    138.606
 18,      0.370,     97.212
 19,      0.391,     53.823
 20,      0.411,      8.383,      0.390,     27.943
 21,      0.432,     38.337,      0.353,    127.791
  0,      0.000,    231.525
  1,      0.021,    258.003
  2,      0.041,    278.305
  3,      0.062,    297.942
  4,      0.082,    314.916
  5,      0.103,    323.903
  6,      0.123,    329.894
  7,      0.144,    333.888
  8,      0.165,    331.891
  9,      0.185,    327.897
 10,      0.206,    318.839
 11,      0.226,    305.930
 12,      0.247,    285.497
 13,      0.267,    267.988
 14,      0.288,    240.030
 15,      0.308,    209.006
 16,      0.329,    179.071
 17,      0.349,    138.606
 18,      0.370,     97.212
 19,      0.391,     53.823
 20,      0.411,      8.383,      0.387,     27.943
 21,      0.432,     38.337,      0.350,    127.791
 22,      0.452,     75.638,      0.312,    252.126
  0,      0.000,    231.525
  1,      0.021,    258.003
  2,      0.041,    278.305
  3,      0.062,    297.942
  4,      0.082,    314.916
  5,      0.103,    323.903
  6,      0.123,    329.894
  7,      0.144,    333.888
  8,      0.165,    331.891
  9,      0.185,    327.897
 10,      0.206,    318.839
 11,      0.226,    305.930
 12,      0.247,    285.497
 13,      0.267,    267.988
 14,      0.288,    240.030
 15,      0.308,    209.006
 16,      0.329,    179.071
 17,      0.349,    138.606
 18,      0.370,     97.212
 19,      0.391,     53.823
 20,      0.411,      8.383,      0.391,     27.943
 21,      0.432,     38.337,      0.354,    127.791
 22,      0.452,     75.638,      0.316,    252.126
 23,      0.473,     99.319,      0.279,    331.062
  0,      0.000,    231.525
  1,      0.021,    258.003
  2,      0.041,    278.305
  3,      0.062,    297.942
  4,      0.082,    314.916
  5,      0.103,    323.903
  6,      0.123,    329.894
  7,      0.144,    333.888
  8,      0.165,    331.891
  9,      0.185,    327.897
 10,      0.206,    318.839
 11,      0.226,    305.930
 12,      0.247,    285.497
 13,      0.267,    267.988
 14,      0.288,    240.030
 15,      0.308,    209.006
 16,      0.329,    179.071
 17,      0.349,    138.606
 18,      0.370,     97.212
 19,      0.391,     53.823
 20,      0.411,      8.383,      0.401,     27.943
 21,      0.432,     38.337,      0.364,    127.791
 22,      0.452,     75.638,      0.326,    252.126
 23,      0.473,     99.319,      0.289,    331.062
 24,      0.493,    132.515,      0.251,    441.718
  0,      0.000,    231.525
  1,      0.021,    258.003
  2,      0.041,    278.305
  3,      0.062,    297.942
  4,      0.082,    314.916
  5,      0.103,    323.903
  6,      0.123,    329.894
  7,      0.144,    333.888
  8,      0.165,    331.891
  9,      0.185,    327.897
 10,      0.206,    318.839
 11,      0.226,    305.930
 12,      0.247,    285.497
 13,      0.267,    267.988
 14,      0.288,    240.030
 15,      0.308,    209.006
 16,      0.329,    179.071
 17,      0.349,    138.606
 18,      0.370,     97.212
 19,      0.391,     53.823
 20,      0.411,      8.383
 21,      0.432,     38.337,      0.382,    127.791
 22,      0.452,     75.638,      0.345,    252.126
 23,      0.473,     99.319,      0.307,    331.062
 24,      0.493,    132.515,      0.270,    441.718
 25,      0.514,    157.875,      0.232,    526.249
  0,      0.000,    231.525
  1,      0.021,    258.003
  2,      0.041,    278.305
  3,      0.062,    297.942
  4,      0.082,    314.916
  5,      0.103,    323.903
  6,      0.123,    329.894
  7,      0.144,    333.888
  8,      0.165,    331.891
  9,      0.185,    327.897
 10,      0.206,    318.839
 11,      0.226,    305.930
 12,      0.247,    285.497
 13,      0.267,    267.988
 14,      0.288,    240.030
 15,      0.308,    209.006
 16,      0.329,    179.071
 17,      0.349,    138.606
 18,      0.370,     97.212
 19,      0.391,     53.823
 20,      0.411,      8.383
 21,      0.432,     38.337,      0.406,    127.791
 22,      0.452,     75.638,      0.368,    252.126
 23,      0.473,     99.319,      0.331,    331.062
 24,      0.493,    132.515,      0.293,    441.718
 25,      0.514,    157.875,      0.256,    526.249
 26,      0.533,    177.144,      0.221,    590.479
  0,      0.000,    231.525
  1,      0.021,    258.003
  2,      0.041,    278.305
  3,      0.062,    297.942
  4,      0.082,    314.916
  5,      0.103,    323.903
  6,      0.123,    329.894
  7,      0.144,    333.888
  8,      0.165,    331.891
  9,      0.185,    327.897
 10,      0.206,    318.839
 11,      0.226,    305.930
 12,      0.247,    285.497
 13,      0.267,    267.988
 14,      0.288,    240.030
 15,      0.308,    209.006
 16,      0.329,    179.071
 17,      0.349,    138.606
 18,      0.370,     97.212
 19,      0.391,     53.823
 20,      0.411,      8.383
 21,      0.432,     38.337
 22,      0.452,     75.638,      0.402,    252.126
 23,      0.473,     99.319,      0.364,    331.062
 24,      0.493,    132.515,      0.327,    441.718
 25,      0.514,    157.875,      0.289,    526.249
 26,      0.533,    177.144,      0.254,    590.479
 27,      0.553,    193.316,      0.217,    644.386
  0,      0.000,    231.525
  1,      0.021,    258.003
  2,      0.041,    278.305
  3,      0.062,    297.942
  4,      0.082,    314.916
  5,      0.103,    323.903
  6,      0.123,    329.894
  7,      0.144,    333.888
  8,      0.165,    331.891
  9,      0.185,    327.897
 10,      0.206,    318.839
 11,      0.226,    305.930
 12,      0.247,    285.497
 13,      0.267,    267.988
 14,      0.288,    240.030
 15,      0.308,    209.006
 16,      0.329,    179.071
 17,      0.349,    138.606
 18,      0.370,     97.212
 19,      0.391,     53.823
 20,      0.411,      8.383
 21,      0.432,     38.337
 22,      0.452,     75.638,      0.447,    252.126
 23,      0.473,     99.319,      0.409,    331.062
 24,      0.493,    132.515,      0.371,    441.718
 25,      0.514,    157.875,      0.334,    526.249
 26,      0.533,    177.144,      0.299,    590.479
 27,      0.553,    193.316,      0.262,    644.386
 28,      0.574,    206.047,      0.224,    686.823
  0,      0.000,    231.525
  1,      0.021,    258.003
  2,      0.041,    278.305
  3,      0.062,    297.942
  4,      0.082,    314.916
  5,      0.103,    323.903
  6,      0.123,    329.894
  7,      0.144,    333.888
  8,      0.165,    331.891
  9,      0.185,    327.897
 10,      0.206,    318.839
 11,      0.226,    305.930
 12,      0.247,    285.497
 13,      0.267,    267.988
 14,      0.288,    240.030
 15,      0.308,    209.006
 16,      0.329,    179.071
 17,      0.349,    138.606
 18,      0.370,     97.212
 19,      0.391,     53.823
 20,      0.411,      8.383
 21,      0.432,     38.337
 22,      0.452,     75.638
 23,      0.473,     99.319
 24,      0.493,    132.515,      0.478,    441.718
 25,      0.514,    157.875,      0.441,    526.249
 26,      0.533,    177.144,      0.406,    590.479
 27,      0.553,    193.316,      0.369,    644.386
 28,      0.574,    206.047,      0.331,    686.823
 29,      0.595,    214.890,      0.294,    716.300
  0,      0.000,    231.525
  1,      0.021,    258.003
  2,      0.041,    278.305
  3,      0.062,    297.942
  4,      0.082,    314.916
  5,      0.103,    323.903
  6,      0.123,    329.894
  7,      0.144,    333.888
  8,      0.165,    331.891
  9,      0.185,    327.897
 10,      0.206,    318.839
 11,      0.226,    305.930
 12,      0.247,    285.497
 13,      0.267,    267.988
 14,      0.288,    240.030
 15,      0.308,    209.006
 16,      0.329,    179.071
 17,      0.349,    138.606
 18,      0.370,     97.212
 19,      0.391,     53.823
 20,      0.411,      8.383
 21,      0.432,     38.337
 22,      0.452,     75.638
 23,      0.473,     99.319
 24,      0.493,    132.515
 25,      0.514,    157.875
 26,      0.533,    177.144
 27,      0.553,    193.316
 28,      0.574,    206.047
 29,      0.595,    214.890
 30,      0.615,    221.462
  0,      0.000,    221.462
  1,      0.021,    217.608
  2,      0.041,    218.813
  3,      0.062,    210.967
  4,      0.082,    200.266
  0,      0.000,    221.462
  1,      0.021,    217.608
  2,      0.041,    218.813
  3,      0.062,    210.967
  4,      0.082,    200.266
  5,      0.103,    186.147
  0,      0.000,    221.462
  1,      0.021,    217.608
  2,      0.041,    218.813
  3,      0.062,    210.967
  4,      0.082,    200.266
  5,      0.103,    186.147
  6,      0.123,    163.896
  0,      0.000,    221.462
  1,      0.021,    217.608
  2,      0.041,    218.813
  3,      0.062,    210.967
  4,      0.082,    200.266
  5,      0.103,    186.147
  6,      0.123,    163.896
  7,      0.144,    138.399
  0,      0.000,    221.462
  1,      0.021,    217.608
  2,      0.041,    218.813
  3,      0.062,    210.967
  4,      0.082,    200.266
  5,      0.103,    186.147
  6,      0.123,    163.896
  7,      0.144,    138.399
  8,      0.165,    108.231
  0,      0.000,    221.462
  1,      0.021,    217.608
  2,      0.041,    218.813
  3,      0.062,    210.967
  4,      0.082,    200.266
  5,      0.103,    186.147
  6,      0.123,    163.896
  7,      0.144,    138.399
  8,      0.165,    108.231
  9,      0.185,     74.283
  0,      0.000,    221.462
  1,      0.021,    217.608
  2,      0.041,    218.813
  3,      0.062,    210.967
  4,      0.082,    200.266
  5,      0.103,    186.147
  6,      0.123,    163.896
  7,      0.144,    138.399
  8,      0.165,    108.231
  9,      0.185,     74.283
 10,      0.205,     42.331
  0,      0.000,    221.462
  1,      0.021,    217.608
  2,      0.041,    218.813
  3,      0.062,    210.967
  4,      0.082,    200.266
  5,      0.103,    186.147
  6,      0.123,    163.896
  7,      0.144,    138.399
  8,      0.165,    108.231
  9,      0.185,     74.283
 10,      0.205,     42.331
 11,      0.226,     12.876,      0.200,     42.920
  0,      0.000,    221.462
  1,      0.021,    217.608
  2,      0.041,    218.813
  3,      0.062,    210.967
  4,      0.082,    200.266
  5,      0.103,    186.147
  6,      0.123,    163.896
  7,      0.144,    138.399
  8,      0.165,    108.231
  9,      0.185,     74.283
 10,      0.205,     42.331
 11,      0.226,     12.876,      0.196,     42.920
 12,      0.247,     20.365,      0.158,     67.882
  0,      0.000,    221.462
  1,      0.021,    217.608
  2,      0.041,    218.813
  3,      0.062,    210.967
  4,      0.082,    200.266
  5,      0.103,    186.147
  6,      0.123,    163.896
  7,      0.144,    138.399
  8,      0.165,    108.231
  9,      0.185,     74.283
 10,      0.205,     42.331
 11,      0.226,     12.876,      0.181,     42.920
 12,      0.247,     20.365,      0.144,     67.882
 13,      0.267,     50.319,      0.106,    167.730
  0,      0.000,    221.462
  1,      0.021,    217.608
  2,      0.041,    218.813
  3,      0.062,    210.967
  4,      0.082,    200.266
  5,      0.103,    186.147
  6,      0.123,    163.896
  7,      0.144,    138.399
  8,      0.165,    108.231
  9,      0.185,     74.283
 10,      0.205,     42.331
 11,      0.226,     12.876,      0.172,     42.920
 12,      0.247,     20.365,      0.134,     67.882
 13,      0.267,     50.319,      0.097,    167.730
 14,      0.288,     79.560,      0.059,    265.201
  0,      0.000,    221.462
  1,      0.021,    217.608
  2,      0.041,    218.813
